date,coast,state,landings
2018-01-01,all,Malaysia,97405
2018-02-01,all,Malaysia,97467
2018-03-01,all,Malaysia,117813
2018-04-01,all,Malaysia,127202
2018-05-01,all,Malaysia,129453
2018-06-01,all,Malaysia,128464
2018-07-01,all,Malaysia,132056
2018-08-01,all,Malaysia,132023
2018-09-01,all,Malaysia,132223
2018-10-01,all,Malaysia,131884
2018-11-01,all,Malaysia,120240
2018-12-01,all,Malaysia,106543
2019-01-01,all,Malaysia,100462
2019-02-01,all,Malaysia,104522
2019-03-01,all,Malaysia,125360
2019-04-01,all,Malaysia,131565
2019-05-01,all,Malaysia,129754
2019-06-01,all,Malaysia,125809
2019-07-01,all,Malaysia,126728
2019-08-01,all,Malaysia,125668
2019-09-01,all,Malaysia,132718
2019-10-01,all,Malaysia,133859
2019-11-01,all,Malaysia,122082
2019-12-01,all,Malaysia,96825
2020-01-01,all,Malaysia,99867
2020-02-01,all,Malaysia,121782
2020-03-01,all,Malaysia,111214
2020-04-01,all,Malaysia,104408
2020-05-01,all,Malaysia,108295
2020-06-01,all,Malaysia,124092
2020-07-01,all,Malaysia,122060
2020-08-01,all,Malaysia,126611
2020-09-01,all,Malaysia,123311
2020-10-01,all,Malaysia,123181
2020-11-01,all,Malaysia,116856
2020-12-01,all,Malaysia,101625
2021-01-01,all,Malaysia,90179
2021-02-01,all,Malaysia,92061
2021-03-01,all,Malaysia,115532
2021-04-01,all,Malaysia,121013
2021-05-01,all,Malaysia,116078
2021-06-01,all,Malaysia,114944
2021-07-01,all,Malaysia,124343
2021-08-01,all,Malaysia,125226
2021-09-01,all,Malaysia,116715
2021-10-01,all,Malaysia,117695
2021-11-01,all,Malaysia,103996
2021-12-01,all,Malaysia,90170
2022-01-01,all,Malaysia,91102
2022-02-01,all,Malaysia,98025
2022-03-01,all,Malaysia,117950
2022-04-01,all,Malaysia,127996
2022-05-01,all,Malaysia,114772
2022-06-01,all,Malaysia,115104
2022-07-01,all,Malaysia,119858
2022-08-01,all,Malaysia,120914
2022-09-01,all,Malaysia,111056
2022-10-01,all,Malaysia,108029
2022-11-01,all,Malaysia,97884
2022-12-01,all,Malaysia,85726
2023-01-01,all,Malaysia,80422
2023-02-01,all,Malaysia,85853
2023-03-01,all,Malaysia,100296
2023-04-01,all,Malaysia,106361
2023-05-01,all,Malaysia,112338
2023-06-01,all,Malaysia,115663
2023-07-01,all,Malaysia,120006
2023-08-01,all,Malaysia,111734
2023-09-01,all,Malaysia,113007
2023-10-01,all,Malaysia,119579
2023-11-01,all,Malaysia,114726
2023-12-01,all,Malaysia,90300
